WWTP,FEATURE_NA,ai_name,county,wwtp_key
Blue Lake,Blue Lake,Met Council - Blue Lake WWTP,"Hennepin, Carver, Scott",BL
Eagles Point,Eagles Point,Met Council Eagles Point WWTP,Washington,EP
East Bethel,East Bethel,Met Council - East Bethel Water Reuse Plant,Anoka,EB
Empire,Empire,Met Council - Empire WWTP,Dakota,EM
Hastings,Hastings,Met Council Hastings WWTP,Dakota,HS
Twin Cities,Twin Cities,Met Council Metropolitan WWTP,"Hennepin, Ramsey, Anoka, Dakota",TC
Rogers,Rogers,Met Council - Rogers WWTP,Hennepin,CR
Seneca,Seneca,Met Council - Seneca WWTP,"Hennepin, Dakota, Scott",SN
St. Croix Valley,Stillwater,Met Council - St Croix Valley WWTP,Washington,SV
Fergus Falls,Fergus Falls,Fergus Falls WWTP,Otter Tail,FF
Winona,Winona,Winona WWTP,Winona,WA
Mora,Mora,Mora WWTP,Kanabec,MR
Elk River,Elk River,Elk River WWTP,Sherburne,ER
Sauk Centre,Sauk Centre,Sauk Centre WWTP,Stearns,SC
Hutchinson,Hutchinson,Hutchinson WWTP,McLeod,HT
Little Falls,Little Falls,Little Falls WWTP,Morrison,LF
Worthington,Worthington,Worthington WWTP,Nobles,WT
Le Sueur,Le Sueur,Le Sueur WWTF,Le Sueur,LS
Chisholm,Chisholm,Central Iron Range Sanitary Sewer District WWTP,St. Louis,CM
Willmar,Willmar,Willmar WWTP,Kandiyohi,WM
Albert Lea,Albert Lea,Albert Lea WWTP,Freeborn,AL
Rochester,Rochester,Rochester WWTP/Water Reclamation Plant,Olmsted,RC
Marshall,Marshall,Marshall WWTP,Lyon,ML
Bemidji,Bemidji,Bemidji WWTP,Beltrami,BI
Milaca,Milaca,Milaca WWTP,Mille Lacs,MA
International Falls,International Falls,NKASD WWTP,Koochiching,IF
Hinckley,Hinckley,Hinckley WWTP,Pine,HY
Glacial Lakes SSWD,Spicer,Glacial Lakes SSWD,Kandiyohi,GL
Moorhead,Moorhead,Moorhead WWTP,Clay,MH
Saint Cloud,Saint Cloud,Saint Cloud WWTP,Stearns,SD
North Branch,North Branch,North Branch WWTP,Chisago,NB
Glencoe,Glencoe,Glencoe WWTP,McLeod,GC
Blooming Prairie,Blooming Prairie,Blooming Prairie WWTP,Dodge,BP
Lanesboro,Lanesboro,Lanesboro WWTP,Fillmore,LB
Brainerd,Brainerd,Brainerd WWTP,Crow Wing,BA
Lafayette,Lafayette,Lafayette WWTP,Nicollet,LY
Mankato,Mankato,Mankato Water Resource Recovery Facility,Blue Earth,MK
Cambridge,Cambridge,Cambridge WWTP,Isanti,CB
New Prague,New Prague,New Prague WWTP,"Le Sueur, Scott",NP
Alexandria,Alexandria,Alexandria Lake Area Sanitary District,Douglas,AX
Thief River Falls,Thief River Falls,Thief River Falls WWTP,Pennington,TR
Northfield,Northfield,Northfield WWTP,Dakota,NF
Western Lake Superior Sanitary District,Duluth,Western Lake Superior Sanitary District,"St Louis, Carlton",WL
Garrison/Kathio/West Mile Lacs WWTP,Onamia,Garrison/Kathio/West Mile Lacs WWTP,"Mille Lacs, Crow Wing",GK
